isMadeFrom                              domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isMeansFor                              domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isMeasuredBy                            domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isMemberOf                              domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isNaturalEnemyOf                        domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isObjectOfActivity                      domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isOtherLanguageEditionOf                domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isOutputFrom                            domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isParentOf                              domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isPartOf                                domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isPathogenOf                            domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isPerformedBy                           domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isPerformedByMeansOf                    domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isPhysiologicalFunctionOf               domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isPortionOf                             domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isPostProductionPracticeFor             domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isPracticeFor                           domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isPreventedBy                           domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isProcessFor                            domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isProducedBy                            domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isPropagationMaterialOf                 domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isPropagationProcessOf                  domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isPropertyOf                            domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isPublishedBy                           domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isReferencedInConceptScopenote          domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isRelatedTypeOf                         domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isSourceOf                              domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isSpatiallyIncludedIn                   domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
isStudiedBy                             domain: aosc:c_domain_concept	                                                range: aosc:c_domain_concept	                                                
